Navn;Stasjon;Tid(norsk normaltid);Middel av middelvind fra hovedobs. (døgn)
Folgefonna Skisenter;SN49085;17.08.2016;2.5
Folgefonna Skisenter;SN49085;18.08.2016;3
Folgefonna Skisenter;SN49085;19.08.2016;2.5
Folgefonna Skisenter;SN49085;20.08.2016;6.9
Folgefonna Skisenter;SN49085;21.08.2016;6.6
Folgefonna Skisenter;SN49085;22.08.2016;4.4
Folgefonna Skisenter;SN49085;23.08.2016;3.6
Folgefonna Skisenter;SN49085;24.08.2016;6.2
Folgefonna Skisenter;SN49085;25.08.2016;3.9
Folgefonna Skisenter;SN49085;26.08.2016;6.7
Folgefonna Skisenter;SN49085;27.08.2016;4.1
Folgefonna Skisenter;SN49085;28.08.2016;4.1
Folgefonna Skisenter;SN49085;29.08.2016;2.5
Folgefonna Skisenter;SN49085;30.08.2016;5.2
Folgefonna Skisenter;SN49085;31.08.2016;6.3
Folgefonna Skisenter;SN49085;01.09.2016;5.5
Folgefonna Skisenter;SN49085;02.09.2016;4.4
Folgefonna Skisenter;SN49085;03.09.2016;2.7
Folgefonna Skisenter;SN49085;04.09.2016;2.7
Folgefonna Skisenter;SN49085;05.09.2016;4.9
Folgefonna Skisenter;SN49085;06.09.2016;6.2
Folgefonna Skisenter;SN49085;07.09.2016;5
Folgefonna Skisenter;SN49085;08.09.2016;8.8
Folgefonna Skisenter;SN49085;09.09.2016;6.1
Folgefonna Skisenter;SN49085;10.09.2016;5.9
Folgefonna Skisenter;SN49085;11.09.2016;4.6
Folgefonna Skisenter;SN49085;12.09.2016;7.4
Folgefonna Skisenter;SN49085;13.09.2016;7
Folgefonna Skisenter;SN49085;14.09.2016;6.2
Folgefonna Skisenter;SN49085;15.09.2016;6
Folgefonna Skisenter;SN49085;16.09.2016;9.1
Folgefonna Skisenter;SN49085;17.09.2016;4.2
Folgefonna Skisenter;SN49085;18.09.2016;5
Folgefonna Skisenter;SN49085;19.09.2016;2
Folgefonna Skisenter;SN49085;20.09.2016;3.8
Folgefonna Skisenter;SN49085;21.09.2016;6.6
Folgefonna Skisenter;SN49085;22.09.2016;6.6
Folgefonna Skisenter;SN49085;23.09.2016;4.6
Folgefonna Skisenter;SN49085;24.09.2016;6
Folgefonna Skisenter;SN49085;25.09.2016;10.8
Folgefonna Skisenter;SN49085;26.09.2016;4.3
Folgefonna Skisenter;SN49085;27.09.2016;8.2
Folgefonna Skisenter;SN49085;28.09.2016;6
Folgefonna Skisenter;SN49085;29.09.2016;7.9
Folgefonna Skisenter;SN49085;30.09.2016;6.8
Folgefonna Skisenter;SN49085;01.10.2016;2.2
Folgefonna Skisenter;SN49085;02.10.2016;5.6
Folgefonna Skisenter;SN49085;03.10.2016;1.9
Folgefonna Skisenter;SN49085;04.10.2016;2.9
Folgefonna Skisenter;SN49085;05.10.2016;2.6
Folgefonna Skisenter;SN49085;06.10.2016;4.5
Folgefonna Skisenter;SN49085;07.10.2016;8.2
Folgefonna Skisenter;SN49085;08.10.2016;3.5
Folgefonna Skisenter;SN49085;09.10.2016;5.3
Folgefonna Skisenter;SN49085;10.10.2016;5.4
Folgefonna Skisenter;SN49085;11.10.2016;3.5
Folgefonna Skisenter;SN49085;12.10.2016;2.9
Folgefonna Skisenter;SN49085;13.10.2016;4.9
Folgefonna Skisenter;SN49085;14.10.2016;10
Folgefonna Skisenter;SN49085;15.10.2016;13.3
Folgefonna Skisenter;SN49085;16.10.2016;11.2
Folgefonna Skisenter;SN49085;17.10.2016;11.6
Folgefonna Skisenter;SN49085;18.10.2016;9.8
Folgefonna Skisenter;SN49085;19.10.2016;2.6
Folgefonna Skisenter;SN49085;20.10.2016;7.1
Folgefonna Skisenter;SN49085;21.10.2016;5.9
Folgefonna Skisenter;SN49085;22.10.2016;6.8
Folgefonna Skisenter;SN49085;23.10.2016;8
Folgefonna Skisenter;SN49085;24.10.2016;8.6
Folgefonna Skisenter;SN49085;25.10.2016;4.5
Folgefonna Skisenter;SN49085;26.10.2016;5.7
Folgefonna Skisenter;SN49085;27.10.2016;6.5
Folgefonna Skisenter;SN49085;28.10.2016;7.5
Folgefonna Skisenter;SN49085;29.10.2016;4
Folgefonna Skisenter;SN49085;30.10.2016;2.4
