,Navn,Stasjon,Tid(norsk normaltid),Nedbør (1 t),Maksimumstemperatur (1 t),Minimumstemperatur (1 t),Middelvind,Høyeste middelvind (1 t)
35216,Bergen - Florida,SN50540,06.01.2025 09:00,-0.0,3.4,3.1,9.6,9.6
35217,Bergen - Florida,SN50540,06.01.2025 10:00,-0.0,3.4,2.8,6.4,9.6
35218,Bergen - Florida,SN50540,06.01.2025 11:00,-0.0,3.1,2.8,6.5,7.3
35219,Bergen - Florida,SN50540,06.01.2025 12:00,-0.0,3.3,2.7,9.8,10.3
35220,Bergen - Florida,SN50540,06.01.2025 13:00,-0.0,2.8,2.5,9.2,10.1
35221,Bergen - Florida,SN50540,06.01.2025 14:00,-0.0,2.5,2.0,9.2,9.8
35222,Bergen - Florida,SN50540,06.01.2025 15:00,-0.0,2.1,1.8,8.9,11.0
35223,Bergen - Florida,SN50540,06.01.2025 16:00,-0.0,1.9,1.6,10.2,11.6
35224,Bergen - Florida,SN50540,06.01.2025 17:00,-0.0,1.7,1.6,9.6,11.4
35225,Bergen - Florida,SN50540,06.01.2025 18:00,-0.0,1.7,1.1,10.8,12.5
35226,Bergen - Florida,SN50540,06.01.2025 19:00,-0.1,1.3,1.0,13.1,13.2
35227,Bergen - Florida,SN50540,06.01.2025 20:00,-0.0,1.3,1.0,12.6,14.4
35228,Bergen - Florida,SN50540,06.01.2025 21:00,-0.0,1.3,1.1,12.8,13.5
35229,Bergen - Florida,SN50540,06.01.2025 22:00,-0.1,1.3,0.4,13.2,13.7
35230,Bergen - Florida,SN50540,06.01.2025 23:00,-0.1,0.6,0.3,8.8,14.7
35231,Bergen - Florida,SN50540,07.01.2025 00:00,-0.2,0.9,0.2,7.6,12.1
35232,Bergen - Florida,SN50540,07.01.2025 01:00,-0.0,1.7,0.6,11.4,11.6
35233,Bergen - Florida,SN50540,07.01.2025 02:00,-0.2,1.9,1.2,10.9,11.8
35234,Bergen - Florida,SN50540,07.01.2025 03:00,-0.1,1.8,0.9,9.1,11.1
35235,Bergen - Florida,SN50540,07.01.2025 04:00,-0.5,1.0,0.3,10.0,10.4
35236,Bergen - Florida,SN50540,07.01.2025 05:00,-0.2,1.6,0.3,8.6,11.8
35237,Bergen - Florida,SN50540,07.01.2025 06:00,-0.1,3.0,1.6,7.8,12.6
35238,Bergen - Florida,SN50540,07.01.2025 07:00,-0.0,3.7,3.0,1.8,8.4
35239,Bergen - Florida,SN50540,07.01.2025 08:00,-0.0,3.8,3.4,3.2,4.5
35240,Bergen - Florida,SN50540,07.01.2025 09:00,-0.0,3.8,3.4,4.6,6.0
35241,Bergen - Florida,SN50540,07.01.2025 10:00,-0.0,3.9,2.8,2.7,4.3
35242,Bergen - Florida,SN50540,07.01.2025 11:00,-0.0,4.5,3.4,3.6,4.0
35243,Bergen - Florida,SN50540,07.01.2025 12:00,-0.0,4.7,4.2,5.7,6.2
35244,Bergen - Florida,SN50540,07.01.2025 13:00,-0.0,4.7,4.2,4.4,6.2
35245,Bergen - Florida,SN50540,07.01.2025 14:00,-0.0,4.9,4.5,5.2,6.1
35246,Bergen - Florida,SN50540,07.01.2025 15:00,-0.0,4.6,4.4,6.4,6.4
35247,Bergen - Florida,SN50540,07.01.2025 16:00,-0.0,4.6,3.5,2.0,6.3
35248,Bergen - Florida,SN50540,07.01.2025 17:00,-0.0,3.9,1.9,1.8,4.2
35249,Bergen - Florida,SN50540,07.01.2025 18:00,-0.0,1.9,0.6,4.2,4.6
35250,Bergen - Florida,SN50540,07.01.2025 19:00,-0.0,3.2,-0.5,1.0,4.3
35251,Bergen - Florida,SN50540,07.01.2025 20:00,-0.0,-0.4,-1.0,0.8,0.9
35252,Bergen - Florida,SN50540,07.01.2025 21:00,-0.0,-0.6,-1.6,0.8,1.3
35253,Bergen - Florida,SN50540,07.01.2025 22:00,-0.0,-1.6,-2.8,1.5,1.8
35254,Bergen - Florida,SN50540,07.01.2025 23:00,-0.0,-2.7,-3.5,1.2,1.7
35255,Bergen - Florida,SN50540,08.01.2025 00:00,-0.0,-2.9,-3.7,1.2,1.5
35256,Bergen - Florida,SN50540,08.01.2025 01:00,-0.0,-3.6,-4.3,1.2,1.9
35257,Bergen - Florida,SN50540,08.01.2025 02:00,-0.0,-3.6,-4.5,1.1,1.1
35258,Bergen - Florida,SN50540,08.01.2025 03:00,-0.0,-4.1,-5.1,1.2,1.8
35259,Bergen - Florida,SN50540,08.01.2025 04:00,-0.0,-4.7,-5.1,0.6,1.3
35260,Bergen - Florida,SN50540,08.01.2025 05:00,-0.0,-4.9,-5.5,0.9,1.5
35261,Bergen - Florida,SN50540,08.01.2025 06:00,-0.0,-5.1,-5.9,1.9,2.2
35262,Bergen - Florida,SN50540,08.01.2025 07:00,-0.0,-5.3,-5.7,2.3,2.4
35263,Bergen - Florida,SN50540,08.01.2025 08:00,-0.0,-5.4,-6.1,0.6,2.3
35264,Bergen - Florida,SN50540,08.01.2025 09:00,-0.0,-4.7,-5.9,0.3,1.9
35265,Bergen - Florida,SN50540,08.01.2025 10:00,-0.0,-4.8,-5.5,0.9,1.1
35266,Bergen - Florida,SN50540,08.01.2025 11:00,-0.0,-3.1,-5.0,0.5,1.2
35267,Bergen - Florida,SN50540,08.01.2025 12:00,-0.0,-2.5,-3.3,0.9,1.9
35268,Bergen - Florida,SN50540,08.01.2025 13:00,-0.0,-1.1,-3.2,0.4,0.9
35269,Bergen - Florida,SN50540,08.01.2025 14:00,-0.0,-2.0,-2.3,1.3,1.7
35270,Bergen - Florida,SN50540,08.01.2025 15:00,-0.0,-1.6,-2.2,1.8,1.9
35271,Bergen - Florida,SN50540,08.01.2025 16:00,-0.0,-1.8,-2.5,1.0,1.9
